iteration,question_id,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.92,num_same_answer_t0.92,same_answer_perc_t0.92,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95,num_detected_t0.98,num_same_answer_t0.98,same_answer_perc_t0.98
1,index_0,55,55,100.00,51,51,100.00,30,30,100.00,24,24,100.00,8,8,100.00,0,0,
2,index_1,89,89,100.00,85,85,100.00,44,44,100.00,26,26,100.00,7,7,100.00,2,2,100.00
3,index_2,97,97,100.00,91,91,100.00,55,55,100.00,44,44,100.00,22,22,100.00,10,10,100.00
4,index_3,97,97,100.00,96,96,100.00,81,81,100.00,72,72,100.00,35,35,100.00,5,5,100.00
5,index_4,28,0,0.00,28,0,0.00,28,0,0.00,28,0,0.00,17,0,0.00,7,0,0.00
6,index_5,66,46,69.70,65,45,69.23,51,34,66.67,36,23,63.89,3,1,33.33,0,0,
7,index_6,21,1,4.76,21,1,4.76,10,1,10.00,6,1,16.67,2,0,0.00,1,0,0.00
8,index_7,112,98,87.50,111,97,87.39,87,79,90.80,73,65,89.04,31,29,93.55,3,3,100.00
9,index_8,83,83,100.00,73,73,100.00,42,42,100.00,28,28,100.00,6,6,100.00,0,0,
10,index_9,91,91,100.00,88,88,100.00,54,54,100.00,33,33,100.00,11,11,100.00,2,2,100.00
11,index_10,75,75,100.00,73,73,100.00,38,38,100.00,30,30,100.00,13,13,100.00,1,1,100.00
12,index_11,110,110,100.00,106,106,100.00,54,54,100.00,28,28,100.00,4,4,100.00,0,0,
13,index_12,44,44,100.00,44,44,100.00,28,28,100.00,22,22,100.00,16,16,100.00,4,4,100.00
14,index_13,109,109,100.00,107,107,100.00,79,79,100.00,56,56,100.00,14,14,100.00,0,0,
15,index_14,112,112,100.00,110,110,100.00,81,81,100.00,49,49,100.00,15,15,100.00,0,0,
16,index_15,99,57,57.58,94,55,58.51,40,28,70.00,21,14,66.67,7,5,71.43,1,1,100.00
17,index_16,93,93,100.00,69,69,100.00,26,26,100.00,16,16,100.00,4,4,100.00,1,1,100.00
18,index_17,54,7,12.96,54,7,12.96,39,4,10.26,32,3,9.38,9,0,0.00,0,0,
19,index_18,111,111,100.00,105,105,100.00,68,68,100.00,50,50,100.00,23,23,100.00,3,3,100.00
20,index_19,118,28,23.73,118,28,23.73,113,27,23.89,95,22,23.16,34,6,17.65,1,0,0.00
21,index_20,62,51,82.26,54,45,83.33,19,17,89.47,13,12,92.31,3,3,100.00,1,1,100.00
22,index_21,120,91,75.83,120,91,75.83,118,89,75.42,108,82,75.93,57,41,71.93,3,1,33.33
23,index_22,108,108,100.00,93,93,100.00,65,65,100.00,52,52,100.00,33,33,100.00,4,4,100.00
24,index_23,118,118,100.00,117,117,100.00,87,87,100.00,59,59,100.00,22,22,100.00,0,0,
25,index_24,79,79,100.00,71,71,100.00,42,42,100.00,30,30,100.00,6,6,100.00,1,1,100.00
26,index_25,103,81,78.64,100,78,78.00,81,64,79.01,68,53,77.94,38,31,81.58,3,2,66.67
27,index_26,45,3,6.67,45,3,6.67,39,3,7.69,34,2,5.88,7,1,14.29,0,0,
28,index_27,104,104,100.00,97,97,100.00,46,46,100.00,28,28,100.00,10,10,100.00,2,2,100.00
29,index_28,107,92,85.98,104,89,85.58,85,71,83.53,64,54,84.38,25,22,88.00,10,7,70.00
30,index_29,107,107,100.00,103,103,100.00,83,83,100.00,60,60,100.00,32,32,100.00,1,1,100.00
