iteration,question_id,num_detected_t0.65,num_same_answer_t0.65,same_answer_perc_t0.65,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.75,num_same_answer_t0.75,same_answer_perc_t0.75,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.85,num_same_answer_t0.85,same_answer_perc_t0.85,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95
1,index_0,5,2,40.00,5,2,40.00,5,2,40.00,3,2,66.67,2,1,50.00,0,0,,0,0,
2,index_1,22,22,100.00,22,22,100.00,21,21,100.00,16,16,100.00,13,13,100.00,2,2,100.00,1,1,100.00
3,index_2,14,14,100.00,12,12,100.00,12,12,100.00,10,10,100.00,10,10,100.00,2,2,100.00,0,0,
4,index_3,23,23,100.00,23,23,100.00,23,23,100.00,21,21,100.00,18,18,100.00,17,17,100.00,0,0,
5,index_4,28,2,7.14,28,2,7.14,28,2,7.14,28,2,7.14,28,2,7.14,24,2,8.33,5,0,0.00
6,index_5,27,6,22.22,27,6,22.22,27,6,22.22,27,6,22.22,24,6,25.00,11,4,36.36,1,0,0.00
7,index_6,28,0,0.00,28,0,0.00,25,0,0.00,23,0,0.00,20,0,0.00,8,0,0.00,1,0,0.00
8,index_7,28,15,53.57,27,14,51.85,27,14,51.85,27,14,51.85,22,12,54.55,15,9,60.00,3,1,33.33
9,index_8,23,23,100.00,21,21,100.00,20,20,100.00,18,18,100.00,17,17,100.00,10,10,100.00,0,0,
10,index_9,26,26,100.00,26,26,100.00,25,25,100.00,22,22,100.00,18,18,100.00,10,10,100.00,1,1,100.00
11,index_10,14,14,100.00,14,14,100.00,13,13,100.00,8,8,100.00,5,5,100.00,2,2,100.00,0,0,
12,index_11,25,25,100.00,24,24,100.00,23,23,100.00,18,18,100.00,12,12,100.00,5,5,100.00,0,0,
13,index_12,16,16,100.00,16,16,100.00,15,15,100.00,15,15,100.00,13,13,100.00,8,8,100.00,0,0,
14,index_13,27,27,100.00,27,27,100.00,27,27,100.00,27,27,100.00,25,25,100.00,9,9,100.00,1,1,100.00
15,index_14,25,25,100.00,25,25,100.00,24,24,100.00,24,24,100.00,21,21,100.00,11,11,100.00,3,3,100.00
16,index_15,25,10,40.00,25,10,40.00,25,10,40.00,20,8,40.00,14,7,50.00,2,2,100.00,0,0,
17,index_16,24,17,70.83,24,17,70.83,22,16,72.73,18,14,77.78,16,12,75.00,7,6,85.71,1,0,0.00
18,index_17,28,4,14.29,28,4,14.29,28,4,14.29,28,4,14.29,28,4,14.29,24,4,16.67,11,2,18.18
19,index_18,26,19,73.08,25,19,76.00,24,18,75.00,23,18,78.26,18,14,77.78,11,8,72.73,0,0,
20,index_19,28,3,10.71,27,3,11.11,27,3,11.11,27,3,11.11,26,3,11.54,20,3,15.00,2,1,50.00
21,index_20,26,4,15.38,26,4,15.38,23,3,13.04,15,0,0.00,13,0,0.00,7,0,0.00,0,0,
22,index_21,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,28,28,100.00,13,13,100.00
23,index_22,25,20,80.00,25,20,80.00,25,20,80.00,25,20,80.00,21,17,80.95,15,13,86.67,5,5,100.00
24,index_23,28,21,75.00,28,21,75.00,28,21,75.00,28,21,75.00,25,18,72.00,22,15,68.18,4,2,50.00
25,index_24,23,23,100.00,23,23,100.00,23,23,100.00,23,23,100.00,19,19,100.00,10,10,100.00,0,0,
26,index_25,26,13,50.00,23,11,47.83,21,10,47.62,20,9,45.00,17,8,47.06,9,5,55.56,1,0,0.00
27,index_26,28,2,7.14,28,2,7.14,28,2,7.14,28,2,7.14,28,2,7.14,25,2,8.00,10,0,0.00
28,index_27,25,14,56.00,25,14,56.00,25,14,56.00,23,14,60.87,17,11,64.71,11,8,72.73,2,2,100.00
29,index_28,28,6,21.43,28,6,21.43,28,6,21.43,28,6,21.43,26,6,23.08,16,3,18.75,0,0,
30,index_29,24,24,100.00,23,23,100.00,23,23,100.00,19,19,100.00,18,18,100.00,15,15,100.00,6,6,100.00
