iteration,question_id,num_detected_t0.65,num_same_answer_t0.65,same_answer_perc_t0.65,num_detected_t0.70,num_same_answer_t0.70,same_answer_perc_t0.70,num_detected_t0.75,num_same_answer_t0.75,same_answer_perc_t0.75,num_detected_t0.80,num_same_answer_t0.80,same_answer_perc_t0.80,num_detected_t0.85,num_same_answer_t0.85,same_answer_perc_t0.85,num_detected_t0.90,num_same_answer_t0.90,same_answer_perc_t0.90,num_detected_t0.95,num_same_answer_t0.95,same_answer_perc_t0.95
1,index_0,26,26,100.00,26,26,100.00,25,25,100.00,23,23,100.00,19,19,100.00,15,15,100.00,3,3,100.00
2,index_1,197,169,85.79,192,164,85.42,176,149,84.66,157,133,84.71,121,104,85.95,62,57,91.94,5,5,100.00
3,index_2,104,104,100.00,103,103,100.00,99,99,100.00,84,84,100.00,62,62,100.00,27,27,100.00,6,6,100.00
4,index_3,233,179,76.82,232,178,76.72,227,175,77.09,220,171,77.73,201,157,78.11,159,126,79.25,45,38,84.44
5,index_4,462,36,7.79,459,36,7.84,457,36,7.88,453,36,7.95,441,36,8.16,344,31,9.01,117,7,5.98
6,index_5,372,116,31.18,370,116,31.35,361,113,31.30,343,107,31.20,285,88,30.88,162,55,33.95,26,9,34.62
7,index_6,392,15,3.83,382,14,3.66,371,13,3.50,347,11,3.17,290,9,3.10,158,7,4.43,29,2,6.90
8,index_7,317,196,61.83,311,194,62.38,299,192,64.21,271,177,65.31,232,151,65.09,156,109,69.87,39,27,69.23
9,index_8,186,171,91.94,179,166,92.74,166,153,92.17,140,129,92.14,105,99,94.29,72,67,93.06,15,15,100.00
10,index_9,198,198,100.00,193,193,100.00,186,186,100.00,177,177,100.00,156,156,100.00,88,88,100.00,19,19,100.00
11,index_10,97,97,100.00,94,94,100.00,88,88,100.00,77,77,100.00,67,67,100.00,40,40,100.00,6,6,100.00
12,index_11,239,183,76.57,238,182,76.47,225,172,76.44,206,159,77.18,162,129,79.63,83,70,84.34,13,12,92.31
13,index_12,78,78,100.00,78,78,100.00,77,77,100.00,76,76,100.00,72,72,100.00,60,60,100.00,22,22,100.00
14,index_13,315,185,58.73,312,183,58.65,309,182,58.90,297,178,59.93,260,154,59.23,152,93,61.18,10,9,90.00
15,index_14,243,243,100.00,241,241,100.00,237,237,100.00,228,228,100.00,201,201,100.00,143,143,100.00,19,19,100.00
16,index_15,258,143,55.43,256,142,55.47,251,141,56.18,227,133,58.59,164,96,58.54,65,39,60.00,6,6,100.00
17,index_16,255,213,83.53,250,209,83.60,235,196,83.40,216,178,82.41,172,142,82.56,97,75,77.32,25,18,72.00
18,index_17,457,27,5.91,456,27,5.92,450,27,6.00,441,27,6.12,419,27,6.44,333,23,6.91,113,6,5.31
19,index_18,273,202,73.99,271,200,73.80,264,196,74.24,249,187,75.10,216,164,75.93,111,87,78.38,22,17,77.27
20,index_19,434,34,7.83,431,34,7.89,431,34,7.89,424,34,8.02,403,32,7.94,287,22,7.67,21,2,9.52
21,index_20,194,98,50.52,194,98,50.52,192,97,50.52,186,94,50.54,173,89,51.45,107,53,49.53,18,7,38.89
22,index_21,445,290,65.17,443,288,65.01,438,285,65.07,430,280,65.12,417,271,64.99,352,229,65.06,110,65,59.09
23,index_22,331,255,77.04,326,252,77.30,311,241,77.49,289,228,78.89,229,182,79.48,151,122,80.79,53,46,86.79
24,index_23,400,122,30.50,398,120,30.15,391,117,29.92,382,113,29.58,357,106,29.69,248,69,27.82,44,15,34.09
25,index_24,252,220,87.30,250,218,87.20,248,216,87.10,239,209,87.45,210,185,88.10,138,122,88.41,15,13,86.67
26,index_25,293,172,58.70,291,171,58.76,282,168,59.57,262,155,59.16,232,137,59.05,150,89,59.33,42,23,54.76
27,index_26,422,82,19.43,421,82,19.48,420,82,19.52,417,82,19.66,411,78,18.98,395,77,19.49,154,24,15.58
28,index_27,309,148,47.90,307,147,47.88,300,145,48.33,278,135,48.56,239,118,49.37,159,76,47.80,49,23,46.94
29,index_28,397,116,29.22,393,115,29.26,392,114,29.08,382,113,29.58,352,103,29.26,256,74,28.91,61,18,29.51
30,index_29,230,230,100.00,227,227,100.00,222,222,100.00,213,213,100.00,186,186,100.00,122,122,100.00,29,29,100.00
