token,frequency,mean_entropy,std_dev_entropy
ies,8,1.300378206405683e-07,2.2084633150561485e-07
thag,5,5.0263001570978875e-06,8.927681801193702e-06
inear,26,8.679345689395416e-06,1.825668127764776e-05
om,8,9.976705650586136e-06,1.2771241390552626e-05
angled,6,1.1487221891807939e-05,1.2659668317373068e-05
�,51,1.4185369700216616e-05,1.7826536588967746e-05
    ,34,1.5966198655838005e-05,5.374136288033741e-05
ode,79,1.6927844552938017e-05,4.9860835969949216e-05
theta,5,2.019871123495413e-05,1.5190049335036465e-05
als,111,2.1773248631336805e-05,7.996478702289077e-05
�,140,2.189483931296168e-05,8.332794581770593e-05
ene,10,2.540684464146233e-05,6.1014384238779665e-05
aring,7,2.9364333099971236e-05,3.351206748898521e-05
�,97,3.205940675308391e-05,0.00021035434145651364
oid,11,3.3890316589766314e-05,7.040312177201978e-05
pi,10,3.866219164758728e-05,4.36916165639072e-05
rd,5,4.100290267000143e-05,4.203679112318613e-05
pose,13,4.187342398683407e-05,7.814427117603863e-05
autiful,11,5.043907908864132e-05,5.897672912059276e-05
clusion,20,5.160873945057301e-05,0.00011383511010668981
ect,6,6.281884075980751e-05,4.7530945923648974e-05
�,29,6.614510129017774e-05,0.0001659218869809976
iscal,5,6.917084657214705e-05,8.306289589557182e-05
F,5,7.335791438534488e-05,0.00011216779552481007
inator,5,8.006202670317729e-05,0.00013408783362731257
ponents,8,8.126258810626793e-05,0.00011597382405982734
�,56,8.672696646247099e-05,0.00029937407986961394
ators,8,0.0001056293202865519,0.00014578624316271988
�,12,0.0001241277633033146,0.0002101190540719541
phen,11,0.0001248811784119329,0.00014478015711460288
_y,9,0.00015537497361373256,0.00032642578975506466
�,85,0.00015778153974961074,0.0001997449266985202
ard,8,0.00018673673414220483,7.251190155970318e-05
ear,11,0.0002018712527222811,0.00031174236566448594
lic,11,0.00023502282451977154,0.0007417235081156316
.e,12,0.00024099501785855405,0.00036609569392297397
ifies,17,0.0002460076466704274,0.000428001128687887
�,64,0.00025708635887990866,0.000831444843522071
count,6,0.0002619720061668583,0.00032216193867206104
ad,11,0.00026399802315599545,0.0005056793534086374
omega,13,0.0002717985606018548,0.000734471647278468
 sp,7,0.00027212201582296286,0.0004015972627367995
ron,12,0.00027434635783541616,0.0004935484887726992
�,498,0.0002868177276392747,0.0058514236378327845
ate,6,0.00030078965261341506,0.00044062491871906244
_T,5,0.0003409471394120602,0.0005703778148631296
pm,6,0.0003780558340581183,0.0008302752997602634
ange,11,0.0004140359167476603,0.0006413915377618724
cribed,11,0.000440490892461741,0.000609039072307712
ines,9,0.0004439820113799933,0.0006260506711488418
isors,59,0.00048433632341057375,0.0018999267778989923
)},7,0.00048822060498964333,0.0010031171825597906
wise,10,0.0004934254223205099,0.000686174780936031
anding,11,0.0005052196925337284,0.0010447361169684337
imeter,15,0.0005437470197370351,0.0006469240211821103
ugging,14,0.0005514828500431651,0.0006187980296195232
rah,11,0.0005806865379885001,0.0010392667422088793
ides,10,0.0006008088370608307,0.000869924777977685
-digit,18,0.0006063212167954613,0.0013257955987088454
ominator,10,0.000651816770793383,0.0017063131460750651
ue,12,0.0007012655154219331,0.0013372648872384447
omb,66,0.0007808024208584533,0.0020225100767825637
 prize,25,0.0007998726724639185,0.0035452841596777572
uent,20,0.0008009649130508367,0.0011360982315600171
ating,24,0.0008014518833217559,0.0014654058098955863
bin,8,0.0010407391793449295,0.002078572856847224
us,337,0.0010625534056850525,0.016390303183352647
ically,5,0.0010767372162236977,0.0021009868451254228
enerate,5,0.001086331164415136,0.000900964658539812
actly,18,0.00108776898420685,0.002535427429387845
-negative,10,0.0013549985858610832,0.0023133394586965536
orean,5,0.0013809095742977075,0.0024882876875897794
right,21,0.0015845197000311764,0.002748265952187232
iper,11,0.0016945904914474825,0.002267472255325323
olving,5,0.0016946409287860117,0.002013552023120184
∂,5,0.001700658371237794,0.0013817308836086052
imum,17,0.0021825932274727056,0.003588920963848479
_o,13,0.002385844410417932,0.004512083104687777
ts,5,0.0032965061434779507,0.003958534275001718
counts,7,0.0034725740658711,0.0030933474457401763
th,16,0.0034989984678067084,0.011852265400139495
/z,8,0.0035037243532808145,0.006302061793687761
 respect,15,0.0035545813730045814,0.01064871650897587
 progress,6,0.003706848043892857,0.007363245442945122
ic,15,0.0037158111031066698,0.008894278796451488
nx,7,0.0038683031975837484,0.008384104878425823
ade,5,0.004189564445001914,0.005531164050583267
ima,7,0.004249499975100314,0.010151474373016792
**<newline>,5,0.00425867078201123,0.0084646885657836
ero,8,0.004452296583896193,0.006448352570878453
an,6,0.0044668125210168405,0.008453542813098628
ates,15,0.0044745229766965265,0.01039944787725888
agon,274,0.004499341654769206,0.022668669238642622
{,344,0.005219396393042906,0.04488774393244238
ation,117,0.005572612610529183,0.045978956327916716
ime,49,0.00591644062681966,0.011621347076732198
-check,17,0.006150292445849284,0.006607061499795123
(v,9,0.006452044349382207,0.015905725235232652
 carry,5,0.006538379901458275,0.007439130319413181
}{,144,0.007223709686749496,0.06147703575142283
