token,frequency,mean_entropy,std_dev_entropy
airs,8,5.601953378093023e-08,8.495248523526753e-08
�,79,1.657952897138885e-06,3.839560501081825e-06
�,39,3.4540748408758053e-06,9.371112044221507e-06
.g,6,6.143792471467481e-06,1.239619999606757e-05
om,5,8.791839236789745e-06,1.5011833980532703e-05
]{,8,1.0829080361343591e-05,1.2893459770317172e-05
el,11,1.141919500045945e-05,1.7801786572741102e-05
ace,11,1.8688069035557362e-05,2.4131109256147535e-05
loor,7,4.703785426180321e-05,4.8451456843944734e-05
�,77,6.743241703590683e-05,0.00040880100695636526
posite,6,8.092203508941223e-05,0.0001132255594144452
clusion,16,9.984767187772339e-05,0.0003229036221794624
eler,17,0.0001024629252322405,0.00025409865780208723
�,6,0.0001119290326675519,7.810228826366673e-05
面上,7,0.00014920193998473147,0.00020170525645835192
{n,6,0.00015672117369437984,0.00021492486550404787
�,9,0.00016651838722494294,0.00021572041481742092
ponents,37,0.0001775135611180041,0.0003779127509739537
�,9,0.0002038667255944462,0.0003278777101527632
ft,7,0.00021942246301762626,0.0004959827604836251
�,81,0.0002342468515792934,0.0009514849786472152
�,66,0.0002471780038810353,0.0006211125148318385
[<newline>,69,0.00029825080143755875,0.0012201125060158473
ifies,11,0.0003018788963332269,0.0004977736410996683
imeters,18,0.0003815702690288478,0.0005065362912618971
ugging,9,0.0004035185208589983,0.0004538900008316637
�,7,0.0005420634361807036,0.000538551551546062
径,43,0.0005565424636657396,0.0025340534374445538
uting,14,0.000708884586204293,0.0016029955716423243
量,42,0.0007959372655299535,0.0017604389441390146
ote,16,0.0008285816571607289,0.0006534084870859382
cribed,21,0.0008361157419489405,0.002276500258103842
le,20,0.0008590247039558134,0.002080220386311288
right,20,0.0011593696869866576,0.00401340010206401
ot,6,0.0018253996726216176,0.0016334202643767711
ts,145,0.002034140879114081,0.010625643550141697
$<newline>,19,0.002121511391730484,0.006149667943352253
}$,6,0.002277034325486116,0.0016087345422924175
es,5,0.0026362676812241507,0.0020704406858151857
-check,15,0.002721476631796055,0.004398969856290037
此类,5,0.003847367242349314,0.003936277308064498
�,11,0.004084739973015927,0.010091499149833705
 T,5,0.00421307909517548,0.007238217470888141
EF,5,0.004804247788168053,0.008551958833746388
ient,8,0.005010321856097708,0.009933575471534738
于,35,0.0055139791898379635,0.017972746828634884
{,216,0.005646321857718721,0.033232310498577805
西,6,0.005782548215903768,0.0073810979799646915
pi,69,0.006210427334593557,0.04288555832943248
�,76,0.007145086391317253,0.030904283500941092
�,16,0.007447831855570148,0.02293402016990474
形,56,0.00746341209348459,0.020666859955980634
(C,8,0.007506059330453017,0.00988656841229322
ines,5,0.007516982912324101,0.015004838112063658
�,28,0.008045505619869536,0.01198287469294083
ima,12,0.008326563760594177,0.01752596415764791
}{,159,0.00835058691137848,0.07879837460119289
 places,14,0.009370004815009473,0.015666601529736788
CM,86,0.009491982659398226,0.0675256485038722
�,5,0.011064378981578585,0.015820336292037183
onent,10,0.012356907775484902,0.03477339629272661
enerate,10,0.01327213672052487,0.03940581069389479
<｜end▁of▁sentence｜>,30,0.013387933881392786,0.040571033147891844
母,10,0.013474197650914658,0.037166331361684804
/m,8,0.013979557053105881,0.015308449602278265
ials,65,0.013991225862847166,0.06104594474637449
}),17,0.014958479171573454,0.031479758381356096
(w,13,0.014977330323665482,0.034433444514170984
 bats,7,0.015992535176163333,0.025910221761831567
ym,16,0.017375705548901603,0.03753132310143986
uple,6,0.01850085992732301,0.03524923598913178
/s,86,0.018547418521926626,0.06583611033801175
times,29,0.020409431094332155,0.054608272755248134
程,75,0.020895547519005797,0.038882785418455
)},13,0.021044444217348874,0.03380109297409089
ilateral,51,0.021148612006204083,0.12562221429819145
二,7,0.021893763730651775,0.039466820564152016
frac,176,0.0243915752684283,0.1281644010544876
近,36,0.02474429978616651,0.14124609228718507
q,35,0.025314818299255085,0.14558287860077918
ime,7,0.027234877572224012,0.020762699528659834
(y,19,0.02989862870818872,0.07045978302951234
}\,22,0.029904903808278017,0.13635059939717584
积,32,0.030189503607851595,0.060710265362152245
(R,23,0.03020183595825489,0.09667819619465391
  ,179,0.030862566769051823,0.21898274837533552
 DB,12,0.031083581812177574,0.039731173594969145
pt,16,0.03140923455281738,0.05321444301301945
{s,6,0.03182776121180928,0.07115519121656923
 least,75,0.033821528957804534,0.21210384938577753
{\,35,0.03554563733469537,0.13801469916645
ating,22,0.03799134873427898,0.11929297578195826
ended,6,0.038134786258671984,0.0770455768393333
etric,67,0.04067899876346908,0.1088390183680446
(\,22,0.04230539904800406,0.13605513226662305
体,5,0.04543725082011409,0.07596413013699835
   ,10,0.045974247340708804,0.07602084235537707
(B,14,0.05012441309046751,0.12208336293943393
入,24,0.05300757166859144,0.21420786421974142
acent,6,0.05335389061430221,0.10492726601367248
