token,frequency,mean_entropy,std_dev_entropy
 manipulate,1,3.243315126115544,0.0
 keep,1,3.2418787479667337,0.0
 anyway,1,3.2052139743565777,0.0
 redefine,1,3.110246367123317,0.0
 comput,1,3.10335870934516,0.0
 multiplication,1,3.102699499686374,0.0
 Opp,1,3.095485458028838,0.0
 summarize,1,3.0606415323776957,0.0
 Can,1,3.0416203474779966,0.0
 exit,1,3.015291722488887,0.0
 wasn,1,3.013248519103026,0.0
 precise,1,3.010921706840697,0.0
 rough,1,3.0062611087185327,0.0
Positive,1,2.9841420096142697,0.0
 covered,1,2.9657600447516526,0.0
 formal,2,2.9560270038405685,0.005643348423352901
 modeling,1,2.949861405808976,0.0
 plot,3,2.948996965669298,0.21613861409987403
 define,5,2.9387454594606126,0.2749131238836358
 connections,1,2.8857031514253513,0.0
 squ,2,2.8831259449629956,0.18135501518467723
 owned,2,2.87170664894518,0.039912907920873986
 characterized,1,2.8606789009229465,0.0
 chords,1,2.840984718782261,0.0
 Out,1,2.8407058841029658,0.0
 quickly,1,2.839166106647072,0.0
Great,1,2.836748925306877,0.0
 said,1,2.8316497617203895,0.0
Ext,1,2.824816836912037,0.0
 summar,2,2.8241480769108347,0.30772625146926336
 past,1,2.8206407478121083,0.0
 ensuring,2,2.7894864736852307,0.1024913913501504
—they,1,2.787362302149594,0.0
 centrally,1,2.785895905240648,0.0
Depending,1,2.771152235437675,0.0
 Could,1,2.7671149909611197,0.0
 feel,1,2.766995132607909,0.0
 broad,1,2.764916931454059,0.0
 Are,4,2.760751552774735,0.24279271577735068
 Clock,1,2.754581342772195,0.0
 alternatively,2,2.7539430143547134,0.1183288337711581
 yeah,2,2.7536814970293584,0.07706673845724321
 substituted,4,2.74526290180936,0.3711680695822941
 Interesting,1,2.7416874746515174,0.0
 greatly,1,2.7416438480477727,0.0
 Earlier,4,2.738687609528995,0.09022991749649169
 unexpected,1,2.732849467473242,0.0
 Actually,3,2.730623753938751,0.11072835465379395
ness,1,2.72883650463679,0.0
 doing,2,2.7199428715362646,0.2441620902258972
Close,1,2.719759811175767,0.0
wait,1,2.7174528778144698,0.0
 grouped,1,2.716240393292827,0.0
 reflecting,2,2.70773000656585,0.3923351410892937
Almost,1,2.707534134279471,0.0
 parse,1,2.7058247217458855,0.0
through,1,2.7009306164769837,0.0
expression,1,2.6919973625985545,0.0
 treat,1,2.689027195556641,0.0
Moreover,4,2.6882861585133018,0.1715712338872043
 Ly,1,2.687799028457663,0.0
 mostly,1,2.686464486066012,0.0
Maybe,1,2.686140759948933,0.0
Position,1,2.6855899698033374,0.0
 effectively,1,2.6796258921329734,0.0
 ???,2,2.674278673056919,0.24054828223357183
 sketch,3,2.66427707397717,0.35218418924247735
dis,1,2.657543101173428,0.0
Points,1,2.644643842359608,0.0
 continuing,1,2.6360519676524143,0.0
 why,5,2.633578210118718,0.3964416454546812
what,2,2.629165980007067,0.2300623920101208
It,2,2.627635328305028,0.2412493235482398
 listing,1,2.6219981027540697,0.0
 suppose,5,2.616365908330926,0.31679839935996384
 conclude,3,2.61610141116688,0.23923108650009103
 Its,2,2.6139865893007155,0.15495414242350436
 considers,1,2.6124800336011162,0.0
 section,2,2.6119990448690147,0.21073019973145302
Looking,4,2.604446467105083,0.43820743036694054
 concluded,3,2.601185893144454,0.24978984729400514
 offset,2,2.5995754264862736,0.3614771422926921
 pretty,1,2.5947983801274384,0.0
 Yep,1,2.59160123054952,0.0
 Found,1,2.5914111932432218,0.0
 How,2,2.5897091012561555,0.29752463463899304
 creates,2,2.5852041263770342,0.08226968074554342
 Of,1,2.5823505300503062,0.0
 Well,3,2.5762149690874168,0.13577565343950704
 CO,1,2.567233758431592,0.0
 approximation,1,2.565640892808572,0.0
 issue,1,2.564424601781785,0.0
 partition,4,2.5570927337245823,0.5634542560470887
 allow,1,2.55658142964536,0.0
 Arithmetic,1,2.5564613522549373,0.0
 roughly,2,2.5528258962223305,0.3961493091583608
 Is,4,2.550148786063902,0.4695520629241559
 suggest,1,2.548778737418894,0.0
 adds,1,2.546175925182847,0.0
Is,2,2.5443271569627437,0.11339630151959801
